2,139,0,True,2410,21 : 31,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,214,1,True,857,21 : 31,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1377,0,True,500,21 : 31,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,550,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,74,0,True,381,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1849,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,198,0,True,348,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,866,1,True,233,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,633,0,True,316,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1835,1,True,282,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,2282,0,True,281,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,377,1,True,264,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,229,0,True,255,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1044,1,True,186,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1564,0,True,560,21 : 32,2016-09-25,none,0,0,0,0
2,148,0,True,297,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,78,0,True,364,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1900,1,True,716,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1679,0,True,549,21 : 32,2016-09-25,none,0,0,0,0
2,484,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,525,0,True,375,21 : 32,2016-09-25,none,0,0,0,0
2,73,1,True,379,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,723,0,True,313,21 : 32,2016-09-25,none,0,0,0,0
2,1476,1,True,333,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1328,0,True,199,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,457
2,566,1,True,363,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,2250,0,True,300,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,2469,1,True,314,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1739,0,True,337,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,675,1,True,321,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1306,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1001,0,True,187,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,724,0,True,187,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1773,0,True,178,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1812,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",244,568,0,440
2,1994,0,True,1582,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,396
2,2284,0,True,435,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,396
2,763,0,True,349,21 : 32,2016-09-25,none,0,0,0,0
2,772,1,True,615,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,396
2,497,0,True,333,21 : 32,2016-09-25,none,0,0,0,0
2,1778,1,True,358,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,396
2,401,0,True,278,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,396
2,1545,1,True,260,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,396
2,1803,0,True,250,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,396
2,281,1,True,253,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,396
2,1758,0,True,260,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,396
2,845,0,True,4250,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,655,0,True,206,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,2112,0,True,222,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1093,0,True,199,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1867,0,True,177,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1724,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,408,0,True,181,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1104,0,True,194,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,2090,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,860,0,True,183,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1622,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1219,0,True,200,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1284,0,True,200,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,2181,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,2003,1,True,219,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1154,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,517,1,True,191,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,957,1,True,239,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,390,1,True,209,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,591,1,True,236,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,768,1,True,231,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1748,1,True,216,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1038,1,True,196,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,2333,1,True,216,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,1045,1,True,225,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,450
2,963,0,True,2537,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,17,0,True,212,21 : 32,2016-09-25,none,0,0,0,0
2,326,0,True,200,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,883,0,True,202,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,1956,0,True,196,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,728,0,True,192,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,1407,0,True,184,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,1501,0,True,201,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,2255,0,True,215,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,680,0,True,166,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,1434,1,True,211,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,905,1,True,226,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,2399,1,True,192,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,2149,1,True,199,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,2280,1,True,202,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,310,1,True,221,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,870,1,True,211,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,424
2,2441,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,433
2,1915,1,True,249,21 : 32,2016-09-25,none,0,0,0,0
2,532,1,True,215,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,433
2,1792,1,True,219,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,433
2,2113,1,True,221,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,433
2,1904,1,True,227,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,433
2,1875,0,True,2153,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,457
2,2320,0,True,236,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,457
2,406,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,457
2,932,0,True,1927,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,497
2,1091,1,True,586,21 : 32,2016-09-25,none,0,0,0,0
2,1430,2,True,0,none,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,497
2,1297,1,True,497,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,497
2,1342,0,True,536,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,497
2,444,1,True,629,21 : 32,2016-09-25,"Apple Computer, Inc.|Netscape|Safari",300,568,0,497
2,92,0,True,538,21 : 32,2016-09-25,none,0,0,0,0
